Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,34.535103,34.990513,34.449715,34.886147,32.226612,17497665
2019-10-28,34.971539,35.559772,34.933586,35.370018,32.673595,25800339
2019-10-29,36.053131,36.774193,35.977230,36.252373,33.488686,32212032
2019-10-30,36.442123,36.831120,36.337761,36.508537,33.725319,22019430
2019-10-31,36.423149,36.603416,36.223907,36.404175,33.628910,24539860
2019-11-01,36.707779,36.944973,36.423149,36.423149,33.646442,19263220
2019-11-04,36.726753,36.755219,36.081593,36.081593,33.330917,17709730
2019-11-05,36.081593,36.148006,35.550285,35.559772,32.848885,21688474
2019-11-06,35.683113,35.796963,35.436432,35.683113,32.962822,18757722
2019-11-07,35.483871,35.654648,34.990513,35.018974,32.661949,22727297
2019-11-08,34.990513,35.256168,34.943073,35.151802,32.785839,26626886
2019-11-11,35.018974,35.113853,34.867172,35.037952,32.679653,12542916
2019-11-12,34.943073,35.189754,34.819733,35.075901,32.715046,13338370
2019-11-13,35.056927,35.056927,34.440228,34.724857,32.387627,25855252
2019-11-14,34.686909,34.876659,34.459202,34.677418,32.343384,25190600
2019-11-15,34.753323,35.550285,34.648956,35.370018,32.989368,36378810
2019-11-18,35.474384,35.521824,35.066414,35.313091,32.936268,18084532
2019-11-19,35.512333,35.749527,35.407970,35.730549,33.325630,26475110
2019-11-20,35.645161,35.759014,35.113853,35.151802,32.785839,19947582
2019-11-21,35.303604,35.996204,35.142315,35.806454,33.396431,20942664
2019-11-22,35.853889,36.442123,35.759014,36.366222,33.918518,25544006
2019-11-25,36.508537,36.888046,36.480076,36.698292,34.228237,31592385
2019-11-26,36.565464,36.612904,36.100571,36.328274,33.883121,34620633
2019-11-27,36.413662,36.726753,36.366222,36.650852,34.183990,19201034
2019-11-29,36.565464,36.888046,36.537003,36.546490,34.086647,9793873
2019-12-02,36.802658,36.812145,36.290321,36.328274,33.883121,15645998
2019-12-03,36.015179,36.242886,35.901329,36.100571,33.670750,20869832
2019-12-04,36.271347,36.299809,35.948769,36.185959,33.750393,14501248
2019-12-05,36.404175,36.404175,35.853889,36.081593,33.653042,13098058
2019-12-06,36.318787,36.546490,36.261860,36.328274,33.883121,12868708
